,Wikicode,Language name(in English),Language name(native),Speakers(L1 & L2),Articles,Articles per1000 speakers,Speakersper article,Depth,Users,Activeusers,Admins,% ofadmins
0,[la:],Latin,Latina,—,"139,685",—,—,14.7,"187,136",142,21,14.79
1,[ang:],Anglo-Saxon,Englisc,—,"4,627",—,—,112.2,"130,198",55,1,1.82
2,[lzh:],Classical Chinese,古文 / 文言文,—,-1,—,—,0.0,-1,-1,-1,100.00
3,[vo:],Volapük,Volapük,30,"39,026","1,300,866.67",0.0008,190.8,"37,037",28,2,7.14
4,[avk:],Kotava,Kotava,70,"29,795","425,642.86",0.0023,0.2,"6,280",20,6,30.00
5,[ie:],Interlingue,Interlingue / Occidental,40,"12,940","323,500.00",0.0031,1.0,"21,193",29,1,3.45
6,[io:],Ido,Ido,250,"51,755","207,020.00",0.0048,2.2,"40,370",53,5,9.43
7,[nov:],Novial,Novial,10,"1,771","177,100.00",0.0056,104.2,"12,561",20,2,10.00
8,[ia:],Interlingua,Interlingua,800,"29,778","37,222.50",0.0269,3.9,"52,921",48,6,12.50
9,[smn:],Inari Sami,Anarâškielâ,450,"6,023","13,384.44",0.0747,47.4,"5,048",22,6,27.27
10,[kw:],Cornish,Kernowek / Karnuack,550,"7,079","12,870.91",0.0777,17.1,"16,676",25,3,12.00
11,[lld:],Ladin,Ladin,"35,000","180,771","5,164.89",0.1936,0.0,"8,544",24,3,12.50
12,[an:],Aragonese,aragonés,"10,000","47,223","4,722.30",0.2118,79.6,"80,216",64,9,14.06
13,[lfn:],Lingua franca nova,lingua franca nova / elefen,970,"4,457","4,594.85",0.2176,2.1,"13,881",23,1,4.35
14,[vep:],Vepsian,Vepsän,"1,600","6,985","4,365.63",0.2291,84.2,"16,782",22,1,4.55
15,[gv:],Manx,Gaelg,"1,853","6,847","3,695.09",0.2706,157.1,"21,160",20,3,15.00
16,[stq:],Saterland Frisian,Seeltersk,"2,000","4,128","2,064.00",0.4845,29.9,"14,082",16,4,25.00
17,[frr:],North Frisian,Nuurdfresk / Nordfriisk,"10,000","20,156","2,015.60",0.4961,11.9,"21,550",24,4,16.67
18,[ast:],Asturian,Asturianu,"110,000","136,877","1,244.34",0.8036,10.5,"129,486",101,8,7.92
19,[sa:],Sanskrit,संस्कृतम्,"15,770","12,221",774.95,1.2904,182.8,"41,860",110,3,2.73
20,[eu:],Basque,euskara,"720,000","448,838",623.39,1.6041,13.9,"168,109",738,12,1.63
21,[cy:],Welsh,Cymraeg,"536,890","281,448",524.22,1.9076,16.5,"94,069",113,16,14.16
22,[dsb:],Lower Sorbian,Dolnoserbski,"6,900","3,419",495.51,2.0181,72.0,"19,511",24,1,4.17
23,[war:],Waray,Waray,"2,560,000","1,266,609",494.77,2.0211,4.2,"61,474",83,3,3.61
24,[ce:],Chechen,Нохчийн,"1,361,000","601,413",441.89,2.2630,8.4,"39,988",51,3,5.88
25,[br:],Breton,Brezhoneg,"206,000","87,274",423.66,2.3604,8.8,"82,042",110,5,4.55
26,[oc:],Occitan,occitan,"218,310","90,302",413.64,2.4176,10.2,"56,702",82,4,4.88
27,[ceb:],Cebuano,Sinugboanong Binisaya,"15,810,000","6,116,886",386.90,2.5846,2.2,"122,414",150,5,3.33
28,[ckb:],Sorani,کوردی,"200,000","73,154",365.77,2.7340,29.9,"65,919",183,7,3.83
